database,status,node_ingest_rate,rel_ingest_rate,total_wall_clock_sec,hop1_p50_ms,hop1_p95_ms,hop2_p50_ms,hop2_p95_ms,hop3_p50_ms,hop3_p95_ms,point_p50_ms,point_p95_ms,indexed_p50_ms,indexed_p95_ms,count_agg_p50_ms,count_agg_p95_ms,groupby_p50_ms,groupby_p95_ms,concurrency_1_qps,concurrency_10_qps,concurrency_40_qps,concurrency_40_errors
CognoDB Cloud,SUCCESS,10629.89,9479.41,16.598,45.02,51.1,46.003,58.704,45.924,539.515,45.416,51.539,56.159,103.579,89.783,100.886,96.951,155.363,21.6,165.57,202.22,0
Memgraph,SUCCESS,41663.51,81896.88,2.463,0.517,0.865,0.513,1.09,0.568,1.884,0.482,0.697,1.212,1.965,8.562,52.652,3.105,7.113,2016.61,2743.88,3131.83,0
FalkorDB,SUCCESS,140888.4,33483.08,3.838,0.532,0.632,0.545,0.657,0.527,1.403,0.494,0.586,0.56,0.657,0.752,0.854,1.961,2.726,2024.43,1926.67,1861.96,54
KùzuDB,SUCCESS,3246.57,1644.04,81.709,1.522,1.927,2.012,2.474,2.12,4.72,1.294,1.55,1.727,1.931,2.646,3.345,2.458,3.079,374.94,534.25,445.84,15
Apache AGE,SUCCESS,92830.21,100528.71,1.495,5.353,51.146,6.619,54.868,216.923,384.582,1.998,3.14,2.883,5.759,200.425,286.994,8.049,55.677,262.51,244.94,248.95,0
