database,metric,run_01,run_02,run_03,median,min,max,mean,std_dev,cv_pct
KùzuDB,1-Hop Cold Latency (ms),3.571,3.096,4.084,3.571,3.096,4.084,3.584,0.403,11.26
KùzuDB,1-Hop p50 (ms),2.085,1.522,1.435,1.522,1.435,2.085,1.681,0.288,17.14
KùzuDB,1-Hop p95 (ms),2.574,1.927,1.715,1.927,1.715,2.574,2.072,0.365,17.63
KùzuDB,2-Hop Cold Latency (ms),2.68,2.025,2.132,2.132,2.025,2.68,2.279,0.287,12.59
KùzuDB,2-Hop p50 (ms),2.331,2.012,1.885,2.012,1.885,2.331,2.076,0.188,9.04
KùzuDB,2-Hop p95 (ms),3.053,2.474,2.202,2.474,2.202,3.053,2.576,0.355,13.77
KùzuDB,3-Hop Cold Latency (ms),2.327,2.033,2.024,2.033,2.024,2.327,2.128,0.141,6.61
KùzuDB,3-Hop p50 (ms),2.248,2.12,1.939,2.12,1.939,2.248,2.102,0.127,6.03
KùzuDB,3-Hop p95 (ms),4.72,5.044,4.401,4.72,4.401,5.044,4.722,0.263,5.56
KùzuDB,Point Lookup p50 (ms),1.294,1.391,1.203,1.294,1.203,1.391,1.296,0.077,5.92
KùzuDB,Point Lookup p95 (ms),1.55,1.618,1.379,1.55,1.379,1.618,1.516,0.101,6.63
KùzuDB,Indexed Lookup p50 (ms),1.727,1.926,1.687,1.727,1.687,1.926,1.78,0.105,5.87
KùzuDB,Indexed Lookup p95 (ms),1.931,2.372,1.899,1.931,1.899,2.372,2.067,0.216,10.44
KùzuDB,Count Agg p50 (ms),2.802,2.646,2.456,2.646,2.456,2.802,2.635,0.141,5.37
KùzuDB,Count Agg p95 (ms),4.182,3.345,3.153,3.345,3.153,4.182,3.56,0.447,12.55
KùzuDB,GroupBy Agg p50 (ms),2.458,2.782,2.316,2.458,2.316,2.782,2.519,0.195,7.74
KùzuDB,GroupBy Agg p95 (ms),3.079,3.617,2.9,3.079,2.9,3.617,3.199,0.305,9.53
